country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
NOR,Norway,DNA,Norwegian Labour Party,Det norske Arbeiderparti,Det norske Arbeiderparti,soc,Social democracy,3.3706209770187767,2.9573934956600794,2.710526365982858,8.293295595938702,12320,,,1302,2903,1503,7488,,9,104,11
NOR,Norway,DS,Democratic Socialists AIK,Demokratiske Sosialister AIK,Demokratiske Sosialister AIK,com,Communist/Socialist,,,,,,,,,,,,,9,1774,14
NOR,Norway,FF,Future for Finnmark,Framtid for Finnmark,Framtid for Finnmark,reg,Regional,,,,,,,,,,,,,9,474,9
NOR,Norway,Fr,Progress Party,Fremskrittspartiet,Fremskrittspartiet,con,Conservative,8.759454224495402,7.5,5.538847069991263,6.119047666850842,12951,,,1307,2909,1507,7506,,9,351,26
NOR,Norway,H,Conservative Party,Høyre,Hoyre,con,Conservative,7.899442972402592,8.295739826403159,3.5839597802413152,9.507393412004438,12620,,,1306,2908,1506,7524,,9,1435,26
NOR,Norway,Hf,Resistance Movement,Hjemmefronten,Hjemmefronten,spec,Special issue,,,,,,,,,,,,,9,17,16
NOR,Norway,Kp,Coastal Party,Kystpartiet,Kystpartiet,con,Conservative,,,,,,,,,,,,,9,780,26
NOR,Norway,KrF,Christian Democratic Party,Kristelig Folkeparti,Kristelig Folkeparti,chr,Christian democracy,5.851629040812889,4.586466237118369,9.197995035271896,3.100313223453991,12520,,,1305,2907,1505,7542,,9,1538,3
NOR,Norway,NKP,Communist Party of Norway,Norges Kommunistiske Parti,Norges Kommunistiske Parti,com,Communist/Socialist,,,,0,12220,,,,,1501,,,9,27,14
NOR,Norway,P,Pensioners Party,Pensjonistpartiet,Pensjonistpartiet,spec,Special issue,,,,,,,,,,,,,9,733,16
