"","elect.uid","country","year","election_date","n.parties","p.crash.tm1","p.crash.tp1","s.crash.tm1","s.crash.tp1","c.location.mean.tm1","c.location.max.tm1","c.location.min.tm1","c.location.mean.tp1","c.location.max.tp1","c.location.min.tp1","share.v.crash.tm1","share.v.crash.tp1","np.vote","NP.d","S.NP.d","NP.n","S.NP.n","np.location.min","np.location.max","np.location.mean","uid"
"86",86,"Bulgaria","1994","1994-12-18",5,0,1,0,0,0,0,0,1.99362043748822,1.99362043748822,1.99362043748822,0,43.5,0,0,0,0,0,0,0,0,"Bulgaria1994"
"87",87,"Bulgaria","1997","1997-04-19",7,0,1,0,0.0696517412935323,0,0,0,1.87770517386423,1.99362043748822,1.67836267348618,0,85.88,6.62,1,1,2,1,0,0,0,"Bulgaria1997"
"88",88,"Bulgaria","2001","2001-06-18",7,1,1,0.348258706467662,0.105769230769231,1.96113241061829,1.96113241061829,1.96113241061829,1.7123072947675,1.96113241061829,1.31578947368421,52.26,26.97,51.47,1,1,4,1,0.756746487533842,1.86,1.31084532040602,"Bulgaria2001"
"89",89,"Bulgaria","2005","2005-06-25",7,1,1,0.423076923076923,0.065938864628821,1.96113241061829,1.96113241061829,1.96113241061829,0.778373243766921,0.8,0.756746487533842,18.2,28.1,14.6,1,1,2,2,0.46,2.85,1.655,"Bulgaria2005"
"90",90,"Bulgaria","2009","2009-07-05",8,1,-Inf,0.131877729257642,0,0.756746487533842,0.756746487533842,0.756746487533842,0,0,0,22.9,0,47.11,1,1,3,2,0,0,0,"Bulgaria2009"
"91",91,"Canada","1945","1945-06-11",7,0,1,0,0.0213647959183673,0,0,0,2.54003434023197,2.54003434023197,2.54003434023197,0,21.5,NA,NA,NA,NA,NA,0.0552042145013427,2.8,1.77661490347418,"Canada1945"
"92",92,"Canada","1949","1949-06-27",4,1,0,0.0854591836734694,0,2.54003434023197,2.54003434023197,2.54003434023197,0,0,0,15.68,0,0,0,0,0,0,0,0,0,"Canada1949"
"93",93,"Canada","1953","1953-08-10",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada1953"
"94",94,"Canada","1957","1957-06-10",4,0,1,0,0,0,0,0,2.8,2.8,2.8,0,6.62,0,0,0,0,0,0,0,0,"Canada1957"
"95",95,"Canada","1958","1958-03-31",4,0,0,0,0,0,0,0,0,0,0,0,0,0.16,1,1,1,1,0,0,0,"Canada1958"
"96",96,"Canada","1962","1962-06-18",5,0,1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,"Canada1962"
"97",97,"Canada","1963","1963-04-08",4,0,1,0,0.307046979865772,0,0,0,2.8,2.8,2.8,0,11.92,0,0,0,0,0,0,0,0,"Canada1963"
"98",98,"Canada","1965","1965-11-08",5,1,1,0.307046979865772,0,2.8,2.8,2.8,2.8,2.8,2.8,11.92,3.66,4.66,1,1,1,1,0,0,0,"Canada1965"
"99",99,"Canada","1968","1968-06-25",4,0,1,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,"Canada1968"
"100",100,"Canada","1972","1972-10-30",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada1972"
"101",101,"Canada","1974","1974-07-08",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada1974"
"102",102,"Canada","1979","1979-05-22",4,0,1,0,0,0,0,0,2.8,2.8,2.8,0,4.61,0,0,0,0,0,0,0,0,"Canada1979"
"103",103,"Canada","1980","1980-02-18",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada1980"
"104",104,"Canada","1984","1984-09-04",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada1984"
"105",105,"Canada","1988","1988-11-21",3,0,1,0,0.357366658344802,0,0,0,2.12562769969769,2.54003434023197,1.7112210591634,0,62.89,0,0,0,0,0,0,0,0,"Canada1988"
"106",106,"Canada","1993","1993-10-25",5,1,0,0.357366658344802,0,2.12562769969769,2.54003434023197,1.7112210591634,0,0,0,62.89,0,32.23,1,1,2,2,1.97845807549549,3.88888888888889,2.93367348219219,"Canada1993"
"107",107,"Canada","1997","1997-06-02",5,0,1,0,0,0,0,0,3.88888888888889,3.88888888888889,3.88888888888889,0,19.35,0,0,0,0,0,0,0,0,"Canada1997"
"108",108,"Canada","2000","2000-11-27",5,0,0,0,0,0,0,0,0,0,0,0,0,25.49,1,1,1,1,3.66076118067689,3.66076118067689,3.66076118067689,"Canada2000"
"109",109,"Canada","2004","2004-06-28",5,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1,0,1,0,3.09824567092093,3.09824567092093,3.09824567092093,"Canada2004"
"110",110,"Canada","2006","2006-01-23",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada2006"
"111",111,"Canada","2008","2008-10-14",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada2008"
"112",112,"Canada","2011","2011-05-02",5,0,-Inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Canada2011"
"113",113,"Cyprus","1976","1976-09-05",5,0,1,0,0,0,0,0,0,0,0,0,71.2,NA,NA,NA,NA,NA,0.131578947368421,3.94736842105263,2.36842105263158,"Cyprus1976"
"114",114,"Cyprus","1981","1981-05-24",7,0,1,0,0,0,0,0,0,0,0,0,7.4,7.4,1,0,3,0,0,0,0,"Cyprus1981"
"115",115,"Cyprus","1985","1985-12-08",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyprus1985"
"116",116,"Cyprus","1991","1991-05-19",5,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1,0,1,0,0,0,0,"Cyprus1991"
"117",117,"Cyprus","1996","1996-05-26",8,0,1,0,0,0,0,0,0,0,0,0,1.4,6.4,1,1,3,1,0.789473684210527,4.3421052631579,2.41228070175439,"Cyprus1996"
"118",118,"Cyprus","2001","2001-05-27",8,0,1,0,0,0,0,0,3.55263157894737,4.3421052631579,2.76315789473684,0,5.2,2.2,1,1,1,1,2.76315789473684,2.76315789473684,2.76315789473684,"Cyprus2001"
"119",119,"Cyprus","2006","2006-05-21",8,0,1,0,0,0,0,0,2.10526315789474,2.10526315789474,2.10526315789474,0,2.78,6.97,1,1,2,1,0,0,0,"Cyprus2006"
"120",120,"Cyprus","2011","2011-05-22",7,0,1,0,0,0,0,0,2.05263157894737,3.94736842105263,0.131578947368421,0,98.81,1.08,1,0,1,0,0,0,0,"Cyprus2011"
"121",121,"Czech Republic","1990","1990-06-09",10,0,1,0,0,0,0,0,0.877017527128521,0.877017527128521,0.877017527128521,0,74.67,NA,NA,NA,NA,NA,0.809897716589136,4.77777777777778,2.10460161097565,"Czech Republic1990"
"122",122,"Czech Republic","1992","1992-06-06",9,0,1,0,0,0,0,0,0.833333333333333,0.833333333333333,0.833333333333333,0,10.49,54.19,1,1,4,3,0.833333333333333,4.25019006545084,2.38959064501768,"Czech Republic1992"
"123",123,"Czech Republic","1996","1996-06-01",9,0,1,0,0.1625,0,0,0,3.44444444444444,4.77777777777778,2.11111111111111,0,16.5,5.9,1,0,2,0,0,0,0,"Czech Republic1996"
"124",124,"Czech Republic","1998","1998-06-20",8,1,1,0.4875,0,4.77777777777778,4.77777777777778,4.77777777777778,4.77777777777778,4.77777777777778,4.77777777777778,8,8.4,8.6,1,1,1,1,2.22040930095471,2.22040930095471,2.22040930095471,"Czech Republic1998"
"125",125,"Czech Republic","2002","2002-06-15",9,0,1,0,0,0,0,0,1.52982435728374,2.54385948181153,0.515789232755947,0,18.1,3.8,1,0,2,0,0.515789232755947,2.54385948181153,1.52982435728374,"Czech Republic2002"
"126",126,"Czech Republic","2006","2006-06-03",6,0,1,0,0.193650793650794,0,0,0,1.54871341404162,2.22040930095471,0.877017527128521,0,6.6,0,0,0,0,0,0,0,0,"Czech Republic2006"
"127",127,"Czech Republic","2010","2010-05-29",10,1,-Inf,0.387301587301587,0,0.877017527128521,0.877017527128521,0.877017527128521,0,0,0,6.3,0,36.72,1,1,5,2,0,0,0,"Czech Republic2010"
"128",128,"Denmark","1945","1945-10-30",8,0,1,0,0.387096774193548,0,0,0,0,0,0,0,3.1,NA,NA,NA,NA,NA,0.126399727908724,4,1.9671694962165,"Denmark1945"
"129",129,"Denmark","1947","1947-10-28",9,1,1,0.387096774193548,0,0,0,0,0,0,0,3.1,3.4,2.2,1,1,1,1,0,0,0,"Denmark1947"
"130",130,"Denmark","1950","1950-09-05",8,0,1,0,0,0,0,0,0,0,0,0,0.3,0.3,1,0,1,0,0,0,0,"Denmark1950"
"131",131,"Denmark","1953","1953-04-21",8,0,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,"Denmark1953"
"132",132,"Denmark","1953","1953-09-22",9,0,0,0,0,0,0,0,0,0,0,0,0,2.7,1,0,1,0,0,0,0,"Denmark1953.5"
"133",133,"Denmark","1957","1957-05-14",9,0,1,0,0.38496652465003,0,0,0,4,4,4,0,8.4,0,0,0,0,0,0,0,0,"Denmark1957"
"134",134,"Denmark","1960","1960-11-15",10,1,1,0.38496652465003,0,4,4,4,0,0,0,8.4,0.4,6.1,1,1,1,1,2.86528243591911,2.86528243591911,2.86528243591911,"Denmark1960"
"135",135,"Denmark","1964","1964-09-22",9,0,1,0,0,0,0,0,4,4,4,0,2.5,0,0,0,0,0,0,0,0,"Denmark1964"
"136",136,"Denmark","1966","1966-11-22",8,0,1,0,0,0,0,0,0,0,0,0,1.6,2.5,1,1,1,1,0,0,0,"Denmark1966"
"137",137,"Denmark","1968","1968-01-23",9,0,1,0,0,0,0,0,0,0,0,0,1.3,2,1,1,1,1,4.2,4.2,4.2,"Denmark1968"
"138",138,"Denmark","1971","1971-09-21",10,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0.698235894504347,0.698235894504347,0.698235894504347,"Denmark1971"
"139",139,"Denmark","1973","1973-12-04",14,0,1,0,0.141025641025641,0,0,0,0.560912791330213,0.560912791330213,0.560912791330213,0,7.8,23.7,1,1,2,2,0.560912791330213,4.02592897331506,2.29342088232263,"Denmark1973"
"140",140,"Denmark","1975","1975-01-09",13,1,0,0.282051282051282,0,0.560912791330213,0.560912791330213,0.560912791330213,0,0,0,7.8,0,0,0,0,0,0,0,0,0,"Denmark1975"
"141",141,"Denmark","1977","1977-02-15",13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Denmark1977"
"142",142,"Denmark","1979","1979-10-23",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Denmark1979"
"143",143,"Denmark","1981","1981-12-08",12,0,1,0,0.202247191011236,0,0,0,4.01296448665753,4.02592897331506,4,0,10,0,0,0,0,0,0,0,0,"Denmark1981"
