id;elmonth;nr_ele;cntry;country;year;mixed;yearsdem;pub_fin_new;fsu;gdp_grow;dismag;dismag2;threshold;enp;turnout;turn_chan;np5;np3;vote_new;vanhanen;deposit;petition;unemp;nongov;against;president;yearsdem2;ln_yearsdem;inflation_index;inflation;Federal;Corruption_cpi;Corruption_wb;Inelastic_vote;System_polarization;polarization;System_polarization_new;Available_issues_new;Available_issues_full;Available_issues;Organizational_strength;Source notes;gap;Signatures needed;population
77;11;3;16;Romania;1996;0;6;0;0;1,679999948;7,800000191;7,81;3;5,879746914;76,01000214;-0,280000001;7;8;8,350000381;25;0;0,58078748;8;4;0;5;36;1,791759491;11,615;38,80900;0,00;;;46,80;-2,281368913;116,8720038;128,830919100;0,0714285714;0,3090909091;0,0754716981;;;;;
78;11;4;16;Romania;2000;0;10;0;0;-6,369999886;7,800000191;7,79;5;5,081552982;65,30999756;-10,69999981;3;4;6,300000191;25;0;0,565003693;8,399999619;8;0;5;100;2,302585125;99,988;45,66700;0,00;3,30;-0,68;;-1,469392886;96,1472446;12,175642090;0,2500000000;0,5090909091;0,2075471698;;;;;
79;11;5;16;Romania;2004;0;14;0;0;4,900000095;7,800000191;7,48;5;3,91;58,50968468;-6,840000153;4;4;4,626399994;25;0;0,565003693;6,300000191;8;0;5;196;2,639057398;212,532;11,86300;0,00;2,80;-0,30;37,77;-1,038740656;12,1756421;243,493640900;0,2857142857;0,5000000000;0,2830188679;;;;;
80;11;6;16;Romania;2008;1;18;0;0;7,348823174;1;1;5;3,94;39,20474209;-19,30494259;0;0;0;25;0;1,397975731;5,788;1;0;5;324;2,890372;279,186;7,84900;0,00;3,70;-0,17;18,38;-0,042566745;243,4936409;94,221942260;0,2321428571;0,5090909091;0,1851851852;;;;;
81;12;7;16;Romania;2012;1;22;0;0;0,327442936;1;1;5;2,524066979;41,76384105;2,55909896;2;2;15,01802756;25;0;1,390820584;7,215;0;0;5;484;3,091042;340,432;2,89800;0,00;3,60;-0,20;;;94,2219423;;0,3214285714;0,5545454545;0,2830188679;;;;;
82;12;1;17;Russia;1993;1;0;;1;-8,699994133;;1,00;5;8,316769102;50;;;;;32;0;1,795493312;5,285;0;1;7;0;;4,864;874,62200;1,00;;;;1,143755912;;681,811592500;;;;;;;;
83;12;2;17;Russia;1995;1;2;1;1;-14,56999969;113;1,00;5;8,884959221;64,37000275;14,37000275;14;15;30,54000092;32;0;1,860533953;9,5;9;1;7;4;0,693147182;58,977;197,47100;1,00;;;;2,470004660;681,8115924;243,779990400;0,2321428571;0,4818181818;0,2075471698;;;;;
84;12;3;17;Russia;1999;1;6;1;1;-3,140000105;113;1,00;5;6,510835171;61,68000031;-2,690000057;13;14;51,91999817;32;0;1,850600958;13,39999962;4;1;7;36;1,791759491;237,146;85,74200;1,00;2,40;-0,94;62,80;4,666250147;243,7799903;293,250399400;0,0892857143;0,4000000000;0,0754716981;;;;;
85;2;6;18;Serbia-Montenegro;2003;0;0;;0;;;5,11;5;6,640988179;58,74990977;-5,418707721;1;1;11,5;57;0;0,016722408;16;1;0;;0;;58,444;2,90500;1,00;;;;;60,7419533;;0,2678571429;0,4636363636;0,2830188679;;;10000;;
86;1;7;18;Serbia;2007;0;4;1;0;5,399950691;;250,00;5;5,758080026;60,5715935;1,82168373;2;2;8,4;;0;0,016923337;18,8;0;0;;16;1,386294365;88,948;6,89800;0,00;3,00;-0,28;;-0,013720397;83,7940797;465,772615400;0,2321428571;0,6090909091;0,2452830189;;;10000;;
87;5;8;18;Serbia;2008;0;5;1;0;3,79976826;;250,00;5;3,894975871;61,35359145;0,78199795;0;0;0;;0;0,016943409;14,7;1;0;;25;1,609437943;100;12,42500;0,00;3,40;-0,35;;;465,7726153;;0,1428571429;0,5636363636;0,1320754717;;;;;
88;5;9;18;Serbia;2012;0;9;1;0;-1,757069293;;250,00;5;7,055569667;57,77146957;-3,58212188;1;1;24;;0;1,727115717;25,552;1;0;;81;2,197224617;135,103;5,92600;0,00;3,30;-0,20;;0,016778267;;192,222676100;0,0909090909;0,5818181818;0,1886792453;;;;;
89;6;2;19;Slovakia;1992;0;2;0;0;0,810000002;150;37,5;5;5,349729061;84,19999695;11,18999958;7;7;50,04999924;18;0;2,652519941;13,10000038;8;0;1;4;0,693147182;;;0,00;;;;0,981279788;339,4172560;46,112610300;0,1071428571;0,4454545455;0,1132075472;;;;;
90;9;3;19;Slovakia;1994;0;4;0;0;-14,56999969;150;37,5;5;5,806642056;75,65000153;-8,550000191;6;6;21,68000031;18;0;2,579978943;13,10000038;4;0;1;16;1,386294365;46,213;13,46400;0,00;;;;-0,298036576;46,1126103;29,27458852;0,2321428571;0,4909090909;0,1886792453;;;;;
