"","country","year","ccode","ccode2","legislative_type","elecrule","tier1_avemag","enep1","enpp1","uid"
"325","Dominican Republic",2002,42,42,2,9,4.69,3.12,2.71,"Dominican Republic2002"
"326","Dominican Republic",2006,42,42,2,9,5.56,2.65,2.52,"Dominican Republic2006"
"327","Dominican Republic",2010,42,42,2,9,5.72,3.04,2.01,"Dominican Republic2010"
"328","Ecuador",1952,130,130,2,9,-99,10.61,-99,"Ecuador1952"
"329","Ecuador",1954,130,130,2,9,-99,6.12,-99,"Ecuador1954"
"330","Ecuador",1956,130,130,2,9,-99,-99,-99,"Ecuador1956"
"331","Ecuador",1958,130,130,2,9,-99,5.8,-99,"Ecuador1958"
"332","Ecuador",1960,130,130,2,9,-99,-99,-99,"Ecuador1960"
"333","Ecuador",1962,130,130,2,9,-99,5.64,-99,"Ecuador1962"
"334","Ecuador",1979,130,130,2,9,2.85,6.4,3.95,"Ecuador1979"
"335","Ecuador",1984,130,130,2,9,2.95,10.32,5.98,"Ecuador1984"
"336","Ecuador",1986,130,130,2,9,2.95,11.95,7.56,"Ecuador1986"
"337","Ecuador",1988,130,130,2,9,2.95,8.14,4.2,"Ecuador1988"
"338","Ecuador",1990,130,130,2,9,3,7.9,6.97,"Ecuador1990"
"339","Ecuador",1992,130,130,2,9,3.25,7.79,6.61,"Ecuador1992"
"340","Ecuador",1994,130,130,2,9,3.25,7.48,5.9,"Ecuador1994"
"341","Ecuador",1996,130,130,2,9,3.5,6.43,5.11,"Ecuador1996"
"342","Ecuador",1998,130,130,3,12,5,6.18,5.66,"Ecuador1998"
"343","Ecuador",2002,130,130,2,9,4.5,-99,7.19,"Ecuador2002"
"344","Ecuador",2006,130,130,2,9,4.5,6.39,5.57,"Ecuador2006"
"345","Ecuador",2009,130,130,2,9,4.29,3.86,3.46,"Ecuador2009"
"346","Estonia",1992,366,366,2,9,8.42,8.87,5.9,"Estonia1992"
