"","country","year","yrsoffc","prtyin","legelec","mdmh","tensys","liec","eiec","thresh"
"3029","Israel",1999,3,3,1,120,51,7,7,1.5
"3033","Israel",2003,3,3,1,120,55,7,7,1.5
"3036","Israel",2006,6,1,1,120,58,7,7,1.5
"3039","Israel",2009,3,4,1,120,61,7,7,2
"3044","Italy",1976,2,30,1,2.20000004768372,2,6.5,6.5,4
"3047","Italy",1979,1,33,1,2.20000004768372,3,7,7,4
"3051","Italy",1983,1,1,1,2.20000004768372,7,7,7,4
"3055","Italy",1987,1,4,1,2.20000004768372,11,7,7,4
"3060","Italy",1992,3,5,1,2.20000004768372,16,7,7,4
"3062","Italy",1994,1,NA,1,2.20000004768372,18,7,7,4
"3064","Italy",1996,1,3,1,2.20000004768372,20,7,7,4
"3069","Italy",2001,3,5,1,2.20000004768372,25,7,7,4
"3074","Italy",2006,5,5,1,22.5,30,7,7,4
"3076","Italy",2008,7,2,1,22.5,32,7,7,4
"3082","Jamaica",1976,4,4,1,1,4,6,6,0
"3086","Jamaica",1980,8,8,1,1,8,6,6,0
"3089","Jamaica",1983,3,3,1,1,3,6,6,0
"3095","Jamaica",1989,9,9,1,1,9,6,6,0
"3099","Jamaica",1993,1,4,1,1,4,7,7,0
"3103","Jamaica",1997,5,8,1,1,5,6,6,0
"3108","Jamaica",2002,10,13,1,1,10,6,6,0
"3113","Jamaica",2007,15,18,1,1,5,7,7,0
"3117","Jamaica",2011,4,4,1,1,9,7,7,0
"3133","Jordan",1989,36,NA,1,NA,36,1,2,NA
"3137","Jordan",1993,40,NA,1,NA,40,5,2,NA
"3141","Jordan",1997,44,NA,1,4,44,7,2,NA
"3147","Jordan",2003,4,NA,1,4,4,6,2,NA
"3151","Jordan",2007,8,NA,1,2.30999994277954,8,6,2,NA
"3154","Jordan",2010,11,NA,1,NA,11,1,2,NA
"3158","Japan",1976,2,21,1,3.90000009536743,2,6.5,6.5,NA
"3161","Japan",1979,1,24,1,3.90000009536743,3,7,7,NA
"3162","Japan",1980,2,25,1,3.90000009536743,4,7,7,NA
"3165","Japan",1983,1,28,1,3.90000009536743,7,7,7,NA
"3168","Japan",1986,4,31,1,3.90000009536743,10,7,7,NA
"3172","Japan",1990,1,35,1,3.90000009536743,14,7,7,NA
"3175","Japan",1993,2,38,1,3.90000009536743,17,7,7,NA
"3178","Japan",1996,2,2,1,7.90000009536743,20,7,7,NA
"3182","Japan",2000,2,4,1,7.90000009536743,24,7,7,NA
"3185","Japan",2003,3,7,1,1.53999996185303,27,7,7,NA
"3187","Japan",2005,5,9,1,1.53999996185303,29,7,7,NA
"3191","Japan",2009,1,13,1,1.53999996185303,33,7,7,NA
"3192","Japan",2010,1,1,1,1.53999996185303,34,7,7,NA
"3195","Kazakhstan",1975,NA,NA,NA,NA,NA,NA,NA,NA
"3196","Kazakhstan",1976,NA,NA,NA,NA,NA,NA,NA,NA
"3197","Kazakhstan",1977,NA,NA,NA,NA,NA,NA,NA,NA
"3198","Kazakhstan",1978,NA,NA,NA,NA,NA,NA,NA,NA
"3199","Kazakhstan",1979,NA,NA,NA,NA,NA,NA,NA,NA
"3200","Kazakhstan",1980,NA,NA,NA,NA,NA,NA,NA,NA
"3201","Kazakhstan",1981,NA,NA,NA,NA,NA,NA,NA,NA
"3202","Kazakhstan",1982,NA,NA,NA,NA,NA,NA,NA,NA
"3203","Kazakhstan",1983,NA,NA,NA,NA,NA,NA,NA,NA
"3204","Kazakhstan",1984,NA,NA,NA,NA,NA,NA,NA,NA
"3205","Kazakhstan",1985,NA,NA,NA,NA,NA,NA,NA,NA
"3206","Kazakhstan",1986,NA,NA,NA,NA,NA,NA,NA,NA
"3207","Kazakhstan",1987,NA,NA,NA,NA,NA,NA,NA,NA
"3208","Kazakhstan",1988,NA,NA,NA,NA,NA,NA,NA,NA
"3209","Kazakhstan",1989,NA,NA,NA,NA,NA,NA,NA,NA
"3210","Kazakhstan",1990,NA,NA,NA,NA,NA,NA,NA,NA
"3211","Kazakhstan",1991,NA,NA,NA,NA,NA,NA,NA,NA
"3214","Kazakhstan",1994,3,1,1,0.899999976158142,3,5,3,NA
"3215","Kazakhstan",1995,4,2,1,NA,4,2,3,NA
"3219","Kazakhstan",1999,8,6,1,0.899999976158142,8,7,3,NA
"3224","Kazakhstan",2004,13,11,1,0.899999976158142,13,7,3,NA
"3227","Kazakhstan",2007,16,14,1,0.899999976158142,16,7,3,NA
